,Blank,Blank1,Ground,Inns,Opposition,Overs,RPO,Result,Score,Start Date,Team
0,,,,,,,,,,,
1,,v Pakistan,30 Aug 2016,1,Nottingham,50.0,8.88,won,444/3,,England
2,,v Netherlands,4 Jul 2006,1,Amstelveen,50.0,8.86,won,443/9,,Sri Lanka
3,,v West Indies,18 Jan 2015,1,Johannesburg,50.0,8.78,won,439/2,,South Africa
4,,v Australia,12 Mar 2006,2,Johannesburg,49.5,8.78,won,438/9,,South Africa
5,,v India,25 Oct 2015,1,Mumbai,50.0,8.76,won,438/4,,South Africa
6,,v South Africa,12 Mar 2006,1,Johannesburg,50.0,8.68,lost,434/4,,Australia
7,,v Zimbabwe,20 Sep 2006,1,Potchefstroom,50.0,8.36,won,418/5,,South Africa
8,,v West Indies,8 Dec 2011,1,Indore,50.0,8.36,won,418/5,,India
9,,v Afghanistan,4 Mar 2015,1,Perth,50.0,8.34,won,417/6,,Australia
10,,v Sri Lanka,15 Dec 2009,1,Rajkot,50.0,8.28,won,414/7,,India
11,,v Bermuda,19 Mar 2007,1,Port of Spain,50.0,8.26,won,413/5,,India
12,,v India,15 Dec 2009,2,Rajkot,50.0,8.22,lost,411/8,,Sri Lanka
13,,v Ireland,3 Mar 2015,1,Canberra,50.0,8.22,won,411/4,,South Africa
14,,v West Indies,27 Feb 2015,1,Sydney,50.0,8.16,won,408/5,,South Africa
15,,v New Zealand,9 Jun 2015,1,Birmingham,50.0,8.16,won,408/9,,England
16,,v Sri Lanka,13 Nov 2014,1,Kolkata,50.0,8.08,won,404/5,,India
17,,v Ireland,1 Jul 2008,1,Aberdeen,50.0,8.04,won,402/2,,New Zealand
18,,v South Africa,24 Feb 2010,1,Gwalior,50.0,8.02,won,401/3,,India
19,,v Zimbabwe,22 Oct 2010,1,Benoni,50.0,7.98,won,399/6,,South Africa
20,,v South Africa,3 Feb 2016,1,Bloemfontein,50.0,7.98,won,399/9,,England
21,,v Kenya,6 Mar 1996,1,Kandy,50.0,7.96,won,398/5,,Sri Lanka
22,,v England,12 Jun 2015,1,The Oval,50.0,7.96,won,398/5,,New Zealand
23,,v Zimbabwe,24 Aug 2005,1,Bulawayo,44.0,9.02,won,397/5,,New Zealand
24,,v West Indies,21 Mar 2015,1,Wellington,50.0,7.86,won,393/6,,New Zealand
25,,v Pakistan,4 Feb 2007,1,Centurion,50.0,7.84,won,392/6,,South Africa
26,,v New Zealand,8 Mar 2009,1,Christchurch,50.0,7.84,won,392/4,,India
27,,v Bangladesh,21 Jun 2005,1,Nottingham,50.0,7.82,won,391/4,,England
28,,v England,14 Nov 2008,1,Rajkot,50.0,7.74,won,387/5,,India
29,,v Bangladesh,21 Jun 2010,1,Dambulla,50.0,7.70,won,385/7,,Pakistan
30,,v Sri Lanka,10 Feb 2017,1,Centurion,50.0,7.68,won,384/6,,South Africa
31,,v Australia,2 Nov 2013,1,Bengaluru,50.0,7.66,won,383/6,,India
32,,v England,19 Jan 2017,1,Cuttack,50.0,7.62,won,381/6,,India
33,,v New Zealand,6 Dec 2016,1,Canberra,50.0,7.56,won,378/5,,Australia
34,,v South Africa,24 Mar 2007,1,Basseterre,50.0,7.54,won,377/6,,Australia
35,,v Ireland,18 Jun 2016,1,Dublin (Malahide),50.0,7.54,won,377/8,,Sri Lanka
36,,v New Zealand,8 Nov 1999,1,Hyderabad (Deccan),50.0,7.52,won,376/2,,India
37,,v Sri Lanka,8 Mar 2015,1,Sydney,50.0,7.52,won,376/9,,Australia
38,,v Zimbabwe,26 May 2015,1,Lahore,50.0,7.50,won,375/3,,Pakistan
39,,v Hong Kong,25 Jun 2008,1,Karachi,50.0,7.48,won,374/4,,India
40,,v Sri Lanka,26 May 1999,1,Taunton,50.0,7.46,won,373/6,,India
41,,v Zimbabwe,9 Feb 2012,1,Napier,50.0,7.46,won,373/8,,New Zealand
42,,v Zimbabwe,6 Feb 2012,1,Whangarei,50.0,7.44,won,372/6,,New Zealand
43,,v Zimbabwe,24 Feb 2015,1,Canberra,50.0,7.44,won,372/2,,West Indies
44,,v Australia,5 Oct 2016,2,Durban,49.2,7.54,won,372/6,,South Africa
45,,v Sri Lanka,4 Oct 1996,1,Nairobi (Gym),50.0,7.42,won,371/9,,Pakistan
46,,v South Africa,5 Oct 2016,1,Durban,50.0,7.42,lost,371/6,,Australia
47,,v Bangladesh,19 Feb 2011,1,Dhaka,50.0,7.40,won,370/4,,India
48,,v Pakistan,3 Feb 2015,1,Napier,50.0,7.38,won,369/5,,New Zealand
49,,v Pakistan,26 Jan 2017,1,Adelaide,50.0,7.38,won,369/7,,Australia
50,,v Sri Lanka,12 Feb 2006,1,Sydney,50.0,7.36,won,368/5,,Australia
51,,,,,,,,,,,
52,,v Pakistan,26 Jul 2015,1,Hambantota,50.0,7.36,won,368/4,,Sri Lanka
53,,v Sri Lanka,7 Feb 2017,1,Cape Town,50.0,7.34,won,367/5,,South Africa
54,,v India,19 Jan 2017,2,Cuttack,50.0,7.32,lost,366/8,,England
55,,v India,27 Feb 2010,1,Ahmedabad,50.0,7.30,won,365/2,,South Africa
56,,v New Zealand,12 Jun 2015,2,The Oval,46.0,7.93,lost,365/9,,England
57,,v New Zealand,14 Dec 2014,1,Sharjah,50.0,7.28,won,364/7,,Pakistan
58,,v Pakistan,20 Aug 1992,1,Nottingham,55.0,6.60,won,363/7,,England
59,,v Zimbabwe,23 Sep 2001,1,Bulawayo,50.0,7.26,won,363/3,,South Africa
60,,v Canada,22 Mar 2007,1,Gros Islet,50.0,7.26,won,363/5,,New Zealand
61,,v Sri Lanka,3 Feb 2009,1,Colombo (RPS),50.0,7.26,won,363/5,,India
62,,v New Zealand,8 Jan 2014,1,Hamilton,50.0,7.26,won,363/4,,West Indies
63,,v Sri Lanka,2 Nov 2014,1,Cuttack,50.0,7.26,won,363/5,,India
64,,v Scotland,11 Mar 2015,1,Hobart,50.0,7.26,won,363/9,,Sri Lanka
65,,v Scotland,3 Sep 2013,1,Edinburgh,50.0,7.24,won,362/3,,Australia
66,,v Australia,16 Oct 2013,2,Jaipur,43.3,8.32,won,362/1,,India
67,,v Bangladesh,13 Apr 2011,1,Dhaka,50.0,7.22,won,361/8,,Australia
68,,v West Indies,28 Jan 2015,1,Centurion,42.0,8.59,won,361/5,,South Africa
69,,v Australia,2 Oct 2016,1,Johannesburg,50.0,7.22,won,361/6,,South Africa
70,,v Sri Lanka,13 Oct 1987,1,Karachi,50.0,7.20,won,360/4,,West Indies
71,,v Sri Lanka,23 Jan 2015,1,Dunedin,50.0,7.20,won,360/5,,New Zealand
72,,v India,23 Mar 2003,1,Johannesburg,50.0,7.18,won,359/2,,Australia
73,,v India,8 Feb 2004,1,Sydney,50.0,7.18,won,359/5,,Australia
74,,v England,2 Jun 2013,1,Southampton,50.0,7.18,won,359/3,,New Zealand
75,,v India,16 Oct 2013,1,Jaipur,50.0,7.18,lost,359/5,,Australia
76,,v Netherlands,18 Mar 2007,1,Basseterre,50.0,7.16,won,358/5,,Australia
77,,v Bangladesh,9 Nov 2008,1,Benoni,50.0,7.16,won,358/4,,South Africa
78,,v Canada,13 Mar 2011,1,Mumbai,50.0,7.16,won,358/6,,New Zealand
79,,v India,5 Dec 2013,1,Johannesburg,50.0,7.16,won,358/4,,South Africa
80,,v Bangladesh,25 Jun 2008,1,Lahore,50.0,7.14,won,357/9,,Sri Lanka
81,,v Pakistan,5 Apr 2005,1,Visakhapatnam,50.0,7.12,won,356/9,,India
82,,v West Indies,10 Apr 2007,1,St George's,50.0,7.12,won,356/4,,South Africa
83,,v England,15 Jan 2017,2,Pune,48.1,7.39,won,356/7,,India
84,,v Pakistan,20 Nov 2015,1,Dubai (DSC),50.0,7.10,won,355/5,,England
85,,v Kenya,22 Oct 2001,1,Cape Town,50.0,7.08,won,354/3,,South Africa
86,,v Australia,28 Oct 2009,1,Nagpur,50.0,7.08,won,354/7,,India
87,,v England,27 Nov 2009,1,Cape Town,50.0,7.08,won,354/6,,South Africa
88,,v Ireland,25 Sep 2016,1,Benoni,50.0,7.08,won,354/5,,South Africa
89,,v New Zealand,15 Nov 2003,1,Hyderabad (Deccan),50.0,7.06,won,353/5,,India
90,,v England,15 Dec 2005,1,Karachi,50.0,7.06,won,353/6,,Pakistan
91,,v Netherlands,16 Mar 2007,1,Basseterre,40.0,8.82,won,353/3,,South Africa
92,,v Pakistan,22 Jan 2017,1,Sydney,50.0,7.06,won,353/6,,Australia
93,,v Kenya,24 Oct 2001,1,Paarl,50.0,7.02,won,351/3,,India
94,,v South Africa,7 Feb 2007,1,Durban,50.0,7.02,won,351/4,,Pakistan
95,,v Kenya,29 Jan 2009,1,Mombasa,50.0,7.02,won,351/7,,Zimbabwe
96,,v Zimbabwe,15 Oct 2010,1,Bloemfontein,50.0,7.02,won,351/6,,South Africa
97,,v Netherlands,3 Mar 2011,1,Mohali,50.0,7.02,won,351/5,,South Africa
98,,v Australia,30 Oct 2013,2,Nagpur,49.3,7.09,won,351/4,,India
99,,v Sri Lanka,25 Oct 2005,1,Nagpur,50.0,7.00,won,350/6,,India
100,,v Australia,20 Feb 2007,2,Hamilton,49.3,7.07,won,350/9,,New Zealand
101,,v India,5 Nov 2009,1,Hyderabad (Deccan),50.0,7.00,won,350/4,,Australia
102,,,,,,,,,,,
103,,v India,30 Oct 2013,1,Nagpur,50.0,7.00,lost,350/6,,Australia
104,,v Zimbabwe,25 Aug 2014,1,Harare,50.0,7.00,won,350/6,,Australia
